yandex_appartments	21	0,0017 %	20	0,0021 %	0,00 %	5,24	5 м 32 c
ig	18	0,0015 %	17	0,0018 %	33,33 %	2,33	5 м 23 c
yd_rtb	18	0,0015 %	17	0,0018 %	27,78 %	1,00	43 c
google	14	0,0011 %	14	0,0015 %	57,14 %	1,00	30 c
aviasales	13	0,0010 %	13	0,0014 %	15,38 %	2,38	3 м
metro	13	0,0010 %	7	0,0007 %	15,38 %	8,62	19 м 52 c
pronovostroy	13	0,0010 %	13	0,0014 %	53,85 %	1,31	27 c
fitness_centers	12	0,0010 %	4	0,0004 %	0,00 %	1,92	9 м 44 c
geoadv_maps	10	0,0008 %	10	0,0011 %	0,00 %	3,40	2 м 14 c
insta	10	0,0008 %	10	0,0011 %	10,00 %	1,80	2 м 44 c
parking	9	0,0007 %	8	0,0008 %	11,11 %	1,11	4 м 7 c
solta	8	0,0006 %	3	0,0003 %	0,00 %	1,00	2 м 8 c
welcome	8	0,0006 %	8	0,0008 %	50,00 %	1,50	1 м 30 c
alfabank	7	0,0006 %	6	0,0006 %	42,86 %	2,43	2 м 21 c
spbguru	7	0,0006 %	3	0,0003 %	14,29 %	3,00	4 м 47 c
vyborshik-site	7	0,0006 %	6	0,0006 %	28,57 %	5,86	4 м 26 c
hyper_ad_tech	6	0,0005 %	2	0,0002 %	0,00 %	1,00	20 c
planbook	6	0,0005 %	6	0,0006 %	0,00 %	3,33	7 м 23 c
plate	6	0,0005 %	3	0,0003 %	16,67 %	2,50	7 м 43 c
sms	6	0,0005 %	3	0,0003 %	16,67 %	2,00	2 м 3 c
uznai.mos.ru	6	0,0005 %	4	0,0004 %	0,00 %	9,67	7 м 40 c
perplexity	5	0,0004 %	4	0,0004 %	20,00 %	1,40	54 c
pronovostroiki	5	0,0004 %	5	0,0005 %	20,00 %	3,20	2 м 12 c
tg	5	0,0004 %	5	0,0005 %	40,00 %	1,20	57 c
yandex_eda	5	0,0004 %	5	0,0005 %	60,00 %	1,00	29 c
zabor	5	0,0004 %	2	0,0002 %	40,00 %	1,20	2 м 30 c
office	4	0,0003 %	3	0,0003 %	0,00 %	2,75	19 м 12 c
sberseller	4	0,0003 %	4	0,0004 %	25,00 %	1,00	59 c
smm	4	0,0003 %	4	0,0004 %	0,00 %	3,75	2 м 47 c
yandex_go	4	0,0003 %	4	0,0004 %	50,00 %	1,00	15 c
youtube_blog	4	0,0003 %	4	0,0004 %	100,00 %	1,00	0 с
ai_chat	3	0,0002 %	1	0,0001 %	33,33 %	1,67	24 c
domyland	3	0,0002 %	3	0,0003 %	33,33 %	3,67	12 м 44 c
dropagent.ru	3	0,0002 %	1	0,0001 %	33,33 %	10,67	16 м 4 c
hyper	3	0,0002 %	2	0,0002 %	33,33 %	1,00	17 c
ivi	3	0,0002 %	3	0,0003 %	0,00 %	1,67	1 м 39 c
novostroy_ru	3	0,0002 %	3	0,0003 %	0,00 %	10,67	15 м 54 c
perekrestok	3	0,0002 %	3	0,0003 %	33,33 %	1,00	3 м 17 c
rmn	3	0,0002 %	3	0,0003 %	66,67 %	1,00	18 c
vk_ads	3	0,0002 %	3	0,0003 %	33,33 %	1,00	9 м 19 c
ya_appartments	3	0,0002 %	2	0,0002 %	0,00 %	1,67	1 м 39 c
beeline	2	0,0002 %	2	0,0002 %	50,00 %	1,00	11 м 8 c
mskguru.ru	2	0,0002 %	2	0,0002 %	0,00 %	5,00	7 м 53 c
netmonet	2	0,0002 %	1	0,0001 %	0,00 %	3,50	2 м 47 c
sp_perfluence	2	0,0002 %	2	0,0002 %	100,00 %	1,00	12 c
stroiki	2	0,0002 %	2	0,0002 %	100,00 %	1,00	0 с
zalo	2	0,0002 %	1	0,0001 %	50,00 %	1,00	8 c
avito	1	0,0000 %	1	0,0001 %	0,00 %	1,00	15 c
dubgtcg.dbz	1	0,0000 %	1	0,0001 %	0,00 %	1,00	35 c
gpmh	1	0,0000 %	1	0,0001 %	0,00 %	1,00	3 м 7 c
m2data	1	0,0000 %	1	0,0001 %	0,00 %	3,00	40 м 2 c
metry.ru	1	0,0000 %	1	0,0001 %	0,00 %	3,00	42 c
mobidriven	1	0,0000 %	1	0,0001 %	0,00 %	1,00	1 м 31 c
onetarget	1	0,0000 %	1	0,0001 %	0,00 %	1,00	8 c
samokat	1	0,0000 %	1	0,0001 %	0,00 %	1,00	1 м 1 c
unisound	1	0,0000 %	1	0,0001 %	0,00 %	2,00	52 c
wink	1	0,0000 %	1	0,0001 %	100,00 %	1,00	0 с
yard-msk.ru	1	0,0000 %	1	0,0001 %	0,00 %	1,00	18 c
