platform,deals,raw_names_included
cian,11,Cian Брендирование; Cian ТГБ
adheads,8,AdHeads
mskguru,6,mskguru
novostroy-m,6,Novostroy-M.ru медийка
move,5,move.ru
yandex,5,Media yandex; Video yandex
pronovostroiki,4,Pronovostroyki
ozon,3,Ozon
novostroy-gid,3,Novostroy-Gid медийка
onetarget,2,Onetarget
mts,2,MTS
yandexmarket,2,market yandex
cre,1,cre
яндекс_кинопоиск,1,Яндекс Кинопоиск
mobidriven,1,Mobidriven
