platform,visits,bounce_rate,avg_time_on_site_sec,page_depth,raw_utm_sources
dropagent.ru,3,33.33,964.0,10.67,zhk:dropagent.ru
ivi,3,0.0,99.0,1.67,zhk:ivi
novostroy_ru,3,0.0,954.0,10.67,zhk:novostroy_ru
perekrestok,3,33.33,197.0,1.0,zhk:perekrestok
rmn,3,66.67,18.0,1.0,zhk:rmn
vk_ads,3,33.33,559.0,1.0,zhk:vk_ads
ya_appartments,3,0.0,99.0,1.67,zhk:ya_appartments
beeline,2,50.0,668.0,1.0,zhk:beeline
mskguru.ru,2,0.0,473.0,5.0,zhk:mskguru.ru
netmonet,2,0.0,167.0,3.5,zhk:netmonet
sp_perfluence,2,100.0,12.0,1.0,zhk:sp_perfluence
stroiki,2,100.0,0.0,1.0,zhk:stroiki
zalo,2,50.0,8.0,1.0,zhk:zalo
avito,2,0.0,15.5,1.0,commerce:avito; zhk:avito
yandex_dostavka,2,0.0,62.0,2.0,commerce:yandex_dostavka
dubgtcg.dbz,1,0.0,35.0,1.0,zhk:dubgtcg.dbz
gpmh,1,0.0,187.0,1.0,zhk:gpmh
m2data,1,0.0,2402.0,3.0,zhk:m2data
metry.ru,1,0.0,42.0,3.0,zhk:metry.ru
onetarget,1,0.0,8.0,1.0,zhk:onetarget
samokat,1,0.0,61.0,1.0,zhk:samokat
unisound,1,0.0,52.0,2.0,zhk:unisound
wink,1,100.0,0.0,1.0,zhk:wink
yard-msk.ru,1,0.0,18.0,1.0,zhk:yard-msk.ru
aeroflot_premium,1,0.0,1050.0,1.0,commerce:aeroflot_premium
restate,1,0.0,29.0,2.0,commerce:restate
roden,1,0.0,15.0,1.0,commerce:roden
smartlab,1,0.0,190.0,1.0,commerce:smartlab
